Caribbean|Carribean
Convert|Contert
a lot|alot
absence|absense absance
acceptable|acceptible
accidentally|accidentaly
accommodate|accomodate acommodate
achieve|acheive
acknowledge|acknowlege aknowledge
acquaintance|acquaintence aquaintance
acquire|aquire adquire
acquit|aquit
acreage|acrage acerage
address|adress
administrator|adminstrator
adultery|adultary
advisable|adviseable advizable
affect|afect
aggression|agression
aggressive|agressive
allegiance|allegaince allegience alegiance
almost|allmost
amateur|amatuer amature
annually|anually annualy
apparent|apparant aparent
arctic|artic
argument|arguement
atheist|athiest
awful|awfull aweful
because|becuase
becoming|becomeing
beginning|begining
believe|beleive
bellwether|bellweather
below|bellow
buoyant|bouyant
buoy|bouy
business|buisness
calendar|calender
camouflage|camoflage camoflague
canceled|cancelled
category|catagory
caught|cauhgt caugt
cemetery|cemetary,
changeable|changable
chief|cheif
colleague|collaegue collegue
collectible|collectable
column|colum
coming|comming
committed|commited comitted
concede|conceed
conference|conferece
congratulate|congradulate
conscientious|consciencious
conscious|concious consious
consensus|concensus
controversy|contraversy
coolly|cooly
daiquiri|dacquiri daquiri
deceive|decieve
definitely|definitly
definite|definate,
descendants|descendents
descendant|descendent
desperate|desparate
difference|diffrence
dilemma|dilema
disappoint|disapoint
disastrous|disasterous
drunkenness|drunkeness
dumbbell|dumbell
effect|efect
embarrass|embarass
equipment|equiptment
etc|ect
exceed|excede
exhilarate|exilerate
existence|existance
experience|experiance
extreme|extreem
fascinating|facinating
fiery|firey
fluorescent|flourescent
foreign|foriegn
formatted|formated
friend|freind
fulfill|fullfil
gauge|guage
grateful|gratefull greatful
guarantee|garantee garentee garanty
guidance|guidence
harass|harrass
height|heighth heigth
hierarchy|heirarchy
hors d'oeuvres|hors derves ordeurves
humorous|humerous
hygiene|hygene hygine hiygeine higeine hygeine
hypocrite|hipocrit
ignorance|ignorence
imitate|immitate
immediately|imediately
independent|independant
indispensable|indispensible
inoculate|innoculate
intelligence|inteligence intelligance
jewelry|jewelery
judgment|judgement
kernel|kernal
leisure|liesure
length|lenght
liaison|liason
library|libary liberry
license|lisence
lightning|lightening
maintenance|maintainance maintnance
medieval|medeval medevil mideval
memento|momento
millennium|millenium milennium
miniature|miniture
minuscule|miniscule
mischievous|mischievious mischevous mischevious
mismatch|missmatch
misspelled|mispelled
misspell|mispell misspel
misspelt|mispelt
necessary|neccessary necessery
neighbor|nieghbor
niece|neice
nonexistent|non-existant non-existent inexistant
noticeable|noticable
occasionally|occasionaly occassionally
occasion|occassion
occurred|occured
occurrence|occurrance occurence
omission|ommision omision
original|orignal
outrageous|outragous
parliament|parliment
pastime|passtime pasttime
perceive|percieve
perform|preform
perseverance|perseverence
persist|presist
personnel|personell personel
plagiarize|plagerize
playwright|playright playwrite
possession|posession possesion
possible|possilbe
potatoes|potatos
precede|preceed
preferred|prefered
presence|presance
privilege|privelege priviledge
professor|professer
promise|promiss
pronunciation|pronounciation
proof|prufe
publicly|publically
quantity|quanity
quarantine|quarentine
questionnaire|questionaire questionnair
queue|que
readable|readible
really|realy
receipt|reciept
receive|recieve
recipient|recipent
recommend|recomend reccommend
reference|referance refrence
referred|refered
relevant|relevent revelant
religious|religous religius
repetition|repitition
response|reponse
restaurant|restarant restaraunt
rhyme|rime
rhythm|rythm rythem
search|seacrh
secretary|secratary secretery
seize|sieze
sent|sended
separate|seperate
sergeant|sargent
similar|similer
skillful|skilfull
speech|speach speeche
spelled|spelt
successfully|sucessfully
successful|succesful successfull sucessful
supersede|supercede
sure|shure
surprise|suprise surprize
temporary|temprorary
tomatoes|tomatos
tomorrow|tommorow tommorrow
transferred|transfered
transferring|transfering
twelfth|twelth
tyranny|tyrany
underrate|underate
unfortunately|unfortunatly
until|untill
upholstery|upholstry
usable|usible
useful|usefull
vacuum|vaccuum vaccum vacume
vehicle|vehical
vicious|visious
weird|wierd
welfare|wellfare welfair
whether|wether
whether|wether
willful|wilfull
withhold|withold
writing|writting writeing
